id,CT,att1,att2,att3,att4,att5
1,-1,0.50205548,0.54216265,0.72238348,1.4288852,2.1365158
2,1,0.1476469,0.8046684,0.36777149,0.24389371,0.026613882
3,-1,0.31664616,0.24319908,0.37047144,1.0637381,1.6781871
4,-1,1.1688741,2.0759008,1.7601405,1.6064459,1.9490456
5,1,0.64865752,0.75202595,2.6362312,3.4557156,2.1181574
6,0,0.40473265,1.2808587,2.5151479,1.2995187,1.4534323
7,-1,1.2050062,2.0318554,2.4472937,2.7394479,2.7458899
8,-1,0.59824137,1.0987288,1.6835287,2.4789134,2.8024127
9,1,0.32800826,1.2102222,2.5976534,2.2107785,1.6216664
10,1,1.668206,2.8481734,2.5169776,2.1727729,0.72046706
11,0,0.48223006,0.98683211,1.4437677,2.1864284,2.5175393
12,1,0.27482721,0.48103668,0.91926414,1.5386127,2.0466195
13,1,-0.70630453,-0.22618127,0.21619952,-0.31772657,-0.64897192
14,1,0.98754646,2.8132911,3.8502628,2.3797891,1.6998137
15,-1,0.50112303,0.72913063,0.83374023,1.2557705,2.0013616
16,1,2.2487902,3.5350384,2.8882737,2.7209197,0.86212017
17,0,0.31930911,2.0916954,3.4437763,2.2330166,2.3024139
18,1,0.6303957,2.1919773,3.5209004,2.7300388,2.1389401
19,-1,1.0880765,1.5640399,1.3688902,1.2501573,1.4914982
20,-1,0.5264121,1.0079024,1.7898944,2.3580139,2.3014737
21,0,-0.36808017,-0.62198358,-0.60141727,-0.62828928,-0.61144343
22,1,0.08725314,1.2520477,1.9706734,1.7369054,1.3942079
23,0,0.47041178,1.1748488,2.2214786,3.9038609,2.7879987
24,-1,1.3510633,2.8253475,2.6405387,1.2185972,-0.056741817
25,1,0.47527619,1.3431131,2.7848317,2.8877708,1.5500174
26,1,0.6692266,0.64016336,0.33815791,0.28531081,-0.13126681
27,1,1.1949282,2.1907971,2.4432745,2.0007909,1.0049886
28,-1,0.20303954,0.4620785,0.74836772,0.99695917,0.99855221
29,1,0.46679299,0.50362537,0.78866915,0.2229358,0.53730356
30,1,0.15058441,1.656594,2.7067667,2.6687049,2.1616487
31,1,-0.15738917,0.73698093,2.4996379,3.0521245,1.6280319
32,1,0.65656714,2.439455,3.7686961,2.5048154,2.0810982
33,1,1.2571379,2.7809697,3.2871348,2.700352,0.86951154
34,1,0.18824682,0.54011861,2.1784493,3.4937688,2.0753308
35,1,0.5347352,1.1512282,2.6653731,4.1776046,2.9168965
36,-1,2.0412979,2.0215905,1.9258954,2.3343605,1.1738737
37,1,0.58597594,1.1371795,1.2907909,1.33595,1.2572291
38,1,0.99970742,2.7911688,3.6556783,2.4709798,1.4594185
39,1,1.6163364,2.0997266,1.7879116,1.3280621,0.75938508
40,1,0.29476758,0.86093158,2.4191877,3.4520527,2.0206306
41,1,0.5807386,1.0971106,1.7440564,2.2783712,2.3894875
42,1,0.38123865,0.63353024,1.002302,1.5212777,1.8638942
43,1,0.31452914,1.9123548,2.9333556,1.5788524,1.3517568
44,-1,0.31421954,0.78106253,1.2049684,1.5346969,1.8773314
45,-1,0.65173918,1.2370342,2.1094477,1.4324433,0.78670067
46,1,0.5358112,0.6007662,2.115888,3.3480717,2.0451475
47,-1,1.4684175,3.2539464,3.5995103,2.3933767,0.41737672
48,-1,1.450874,2.5570839,1.9918773,1.486097,1.7354962
49,1,0.99311088,2.7048435,3.4733421,2.2126661,0.45329533
50,-1,0.12377605,2.4334614,2.7623845,2.3959632,2.1412625
51,1,1.814836,3.1168412,2.709344,2.2893513,0.74680004
52,1,1.1685633,1.8563351,2.1545365,2.3218258,1.9164374
53,1,2.1130509,3.2390538,2.5576422,2.3156721,1.0033186
54,-1,-0.19441323,-1.1007149,-1.3215892,-0.81488251,-0.34071735
55,1,0.73059393,0.95465401,2.7894027,3.2344186,2.150623
56,1,0.59401433,1.1537236,2.6051702,3.1965895,2.0619099
57,-1,2.0394327,1.8832347,1.9093279,2.4715339,1.1181387
58,-1,0.46737906,0.34010397,0.35138992,0.80988876,1.2934283
59,1,0.64275558,1.9652219,2.9047617,2.3393423,0.79156126
60,1,0.50691007,1.6370345,3.1547647,1.7402818,1.8124405
61,1,0.59591868,1.3137186,2.7465019,4.1991449,2.7199107
62,-1,1.2215121,3.5215769,3.6276133,3.0769932,2.0356967
63,1,0.7809784,1.3408039,1.9632789,3.0925116,3.7208991
64,1,0.28914124,0.43851407,1.8578511,3.1790404,1.9176691
65,1,-0.022584248,0.20520995,1.7449143,2.3217103,1.252388
66,-1,0.18753379,-0.27663761,-0.30880471,-0.27084334,-0.73064539
67,1,0.16455766,1.1072882,2.1469641,1.8764232,1.6426157
68,1,0.41601568,1.1139534,2.1378086,1.9796622,0.65161616
